name,3_grams_1,3_grams_2,3_grams_3
Johan Berg,Add debug output,debug output macros,output macros
Ido Ben-Hur,"Revert ""msm8998-common: overlay:","""msm8998-common: overlay: Set",overlay: Set shift
Ido Ben-Hur,"Revert ""msm8998-common: overlay:","""msm8998-common: overlay: Enable",overlay: Enable burn
Ido Ben-Hur,"Revert ""msm8998: Enable","""msm8998: Enable burn",Enable burn in
Renovate Bot,chore(deps): update typescript-eslint,update typescript-eslint monorepo,typescript-eslint monorepo to
NewsTools,Created Text For,Text For URL,For URL [nationaldailyng.com/generators-fire-destroys-kara-market-in-lagos/]
Benito Perdomo Vergara,pdn-mx/s1-Declaraciones-Inicial:2.0,,
Aishwarya Pawar,Delete RHSinteg.m,RHSinteg.m,
john gravois,add info for,info for prospective,for prospective esri
john gravois,hindsight,,
Lauren Boyd,Merge pull request,pull request #342,request #342 from
awsm-bot,Updating backups for,backups for 2019-10-03,for 2019-10-03
Thomas LaFreniere,subscription confirmation +,confirmation + profile,+ profile active
Peter Davison-Reiber,Colour change test,change test,test
Snoopy Crime Cop,merge master -Dorg,"master -Dorg -Ssuccess-only

Repository:","-Dorg -Ssuccess-only

Repository: openmicroscopy/omero-webtest
Already"
mohsenataei,exercise issue fixed.,issue fixed.,fixed.
Zachary Jacobs,Automatically backed up,backed up by,up by Learn
love4say,bossDB,,
wessilfie,rebuild pages,pages,
Pakeji,Commit (January 01,(January 01 2020,01 2020 00:46:06
bplok20010,类型添加,,
Ri Xin Yang,Automatically backed up,backed up by,up by Learn
Jerry014a,learning modules and,modules and basics,and basics of
Ben Saufley,Update CodeClimate coverage,"CodeClimate coverage reporter,","coverage reporter, try"
Tainoko,commit,,
Enmotus-Dave-Cohen,....,,
Enmotus-Dave-Cohen,Merge branch 'master',branch 'master' of,'master' of https://github.com/david-cohen/diskspd
David Cohen,Merge pull request,pull request #21,request #21 from
David Cohen,Merge pull request,pull request #22,request #22 from
Dimitrios Grammatikogiannis,Merge branch 'master',branch 'master' of,"'master' of github.com:dgrammatiko/formally

*"
Olle Jonsson,Fix YARD warnings,YARD warnings,warnings
MehdiL,typos in protfolio.,in protfolio.,protfolio.
Robert Scott,pythonPackages.unicorn: redesign to,redesign to become,to become a
David Basarab,fixed version,version,
Pakeji,Commit (January 01,(January 01 2020,01 2020 00:46:08
Camilo Soto Montoya,Update README.md,README.md,
Camilo Soto Montoya,Update README.md,README.md,
Matt Cavallo,Update NET_Framework_Check.psm1,NET_Framework_Check.psm1,
simerplaha,#129 - Java,- Java Slice,Java Slice
simerplaha,#129 - Java,- Java Set,Java Set
simerplaha,#129 - name,- name Stream,name Stream params
simerplaha,#129 - Java,- Java set,Java set
simerplaha,#129 - memory.zero,- memory.zero,memory.zero
simerplaha,#129 - java,- java persistent.Map,java persistent.Map and
simerplaha,#129 - java,- java Slice,java Slice releated
simerplaha,#129 - empty,- empty test,empty test stubs
simerplaha,#129 - toArray,- toArray and,toArray and toArrayCopy
simerplaha,#129 - removed,- removed compact,removed compact dependency
simerplaha,#129 - Comparator,- Comparator uses,Comparator uses ByteSlice
simerplaha,#129 - IORightTest,- IORightTest,IORightTest
simerplaha,#129 - IOLeftTest,- IOLeftTest,IOLeftTest
simerplaha,#129 - fix,- fix equals,fix equals
simerplaha,#129 - added,- added IOStream,added IOStream and
simerplaha,#129 - TODO,- TODO commmend,TODO commmend
simerplaha,#129 - fixing,- fixing 2.11,fixing 2.11 build
simerplaha,#129 - fixing,- fixing 2.11,fixing 2.11 build.
simerplaha,#129 - fixing,- fixing 2.11,fixing 2.11 build.
simerplaha,#129 - Java,- Java Actor,Java Actor
LuisFrag,create boardException and,boardException and defensive,and defensive programing
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,"master -Dorg -Ssuccess-only

Repository:","-Dorg -Ssuccess-only

Repository: ome/rOMERO-gateway
Already"
bearjung,bossDB,,
wmay,Add 2019 2nd,2019 2nd quarter,2nd quarter WFML
Ri Xin Yang,Automatically backed up,backed up by,up by Learn
Aishwarya Pawar,Delete RHSinteg_new.m,RHSinteg_new.m,
github username,added id to,id to search,to search method
bearjung,bossDB,,
Thomas de Zeeuw,Add tests for,tests for the,for the registration
Thomas de Zeeuw,Port tests for,tests for UdpSocket,for UdpSocket from
Thomas de Zeeuw,Check that UdpSocket,that UdpSocket is,UdpSocket is non-blocking
Thomas de Zeeuw,Port tests for,tests for TcpStream,for TcpStream from
Thomas de Zeeuw,Port tests for,tests for TcpListener,for TcpListener from
Thomas de Zeeuw,Ignore flaky TcpStream,flaky TcpStream shutdown_write,TcpStream shutdown_write test
Thomas de Zeeuw,Set accepted TcpStreams,accepted TcpStreams in,TcpStreams in non-blocking
Thomas de Zeeuw,Disable TcpListener deregister,TcpListener deregister test,deregister test on
Thomas de Zeeuw,Make TcpListener::try_clone tests,TcpListener::try_clone tests more,"tests more robust

Before"
Thomas de Zeeuw,Loosen TcpStream shutdown,TcpStream shutdown reading,shutdown reading side
Thomas de Zeeuw,Ignore connection reset,connection reset error,reset error in
Thomas de Zeeuw,Disable TcpListener::try_clone tests,TcpListener::try_clone tests on,"tests on Windows

They"
Thomas de Zeeuw,Fix TcpStream's shutdown_both,"TcpStream's shutdown_both tests

On","shutdown_both tests

On Windows"
Thomas de Zeeuw,Ignore TcpStream smoke,TcpStream smoke tests,smoke tests on
Thomas de Zeeuw,Ignore TcpStream nodelay,TcpStream nodelay test,nodelay test on
Thomas de Zeeuw,Ignore some UdpSocket,some UdpSocket tests,UdpSocket tests on
Thomas de Zeeuw,Add TCP server,"TCP server example

It's","server example

It's a"
Thomas de Zeeuw,Drop test_ prefix,test_ prefix from,prefix from test
Dmitrii Goriunov,Read till would,till would block,would block
Dmitrii Goriunov,If connection closed,connection closed we,closed we still
Tomas Janousek,bridge: Fix hwaddr,Fix hwaddr set,hwaddr set race
elangovan sivanandam,Merge pull request,pull request #2380,request #2380 from
Pakeji,Commit (January 01,(January 01 2020,01 2020 00:46:10
Zachary Jacobs,Automatically backed up,backed up by,up by Learn
Benito Perdomo Vergara,pdn-mx/s1-Declaraciones-Modificacion:2.0,,
Bot,update,,
simsland,bossDB,,
Lucas,Fix typo.,typo.,
SeungYeop Han,PPTX Add,Add,
James Cathcart,WIP - not,- not receving,not receving token
d3j331,Fixed line ending,line ending fro,ending fro json
RhXKGxbwQHmTREDU,37894206,,
Tsujioka Taichi,deployed,,
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,"master -Dorg -Ssuccess-only

Repository:","-Dorg -Ssuccess-only

Repository: ome/scripts
Already"
Pakeji,Commit (January 01,(January 01 2020,01 2020 00:46:13
Danver98,added request inquiry,request inquiry,inquiry
donaldsouza,message_2020-01-01T00:46:14,,
ChrisH,add line break,line break toward,break toward poster
aqi-moscun,Update File at:,File at: 2020-01-01,at: 2020-01-01 00:46:14
Pakeji,Commit (January 01,(January 01 2020,01 2020 00:46:15
Noah Emmet,add locations field,locations field,field
dependabot-preview[bot],Bump @types/node from,@types/node from 12.12.18,from 12.12.18 to
y-yagi,Merge pull request,pull request #69,request #69 from
Dustin Spicuzza,Black formatting changes,formatting changes,changes
Michael Weedman,Update Migrations,Migrations,
Michael Weedman,Migrations updated,updated,
ChristianDunn,Changes to virtual,to virtual avail,virtual avail
wadegguerin,Update README.md,README.md,
wadegguerin,Merge pull request,pull request #1,request #1 from
Tetsu Yamazaki,"### Added
- 組織タイプにProjectを追加
-","Added
- 組織タイプにProjectを追加
- プロジェクトメンバーリポジトリを追加

###","組織タイプにProjectを追加
- プロジェクトメンバーリポジトリを追加

### Changed
-"
Philip Lassen,latest updates to,updates to quicksort,to quicksort
Benito Perdomo Vergara,pdn-mx/s1-Declaraciones-Conclusion:2.0,,
SharkFin,update spacing: single,"spacing: single tab

","single tab

 -"
NewsTools,Created Text For,Text For URL,For URL [nationaldailyng.com/fashola-ducks-best-ministers-award-in-buharis-government/]
Pakeji,Commit (January 01,(January 01 2020,01 2020 00:46:17
Snoopy Crime Cop,"Update master submodules

Repository:","master submodules

Repository: ome/omero-plugins
Already","submodules

Repository: ome/omero-plugins
Already up-to-date.

Repository:"
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Snone:,-Dorg -Snone: PR
Snoopy Crime Cop,merge master -Dorg,"master -Dorg -Snone

Repository:","-Dorg -Snone

Repository: ome/omero-plugins
Already"
Snoopy Crime Cop,merge master -Dorg,"master -Dorg -Ssuccess-only

Repository:","-Dorg -Ssuccess-only

Repository: ome/omero-plugins
Excluded"
Sinan,Update index.html,index.html,
Aishwarya Pawar,Delete computeDiceSimilarity.m,computeDiceSimilarity.m,
Michael Reilly,Update development_projects.py,development_projects.py,
Jairo Llopis,[FIX] website: do,website: do not,do not fail
Yoshi Tashiro,[IMP] l10n_jp: covering,l10n_jp: covering new,covering new tax
Nicolas Lempereur,[FIX] web_editor: Revert,"web_editor: Revert ""update","Revert ""update attribute"
Ellen Kenyon,Add files via,files via upload,via upload
Pakeji,Commit (January 01,(January 01 2020,01 2020 00:46:19
Renovate Bot,chore(deps): lock file,lock file maintenance,file maintenance
Pete Higgins,Add spellcheck task,spellcheck task for,task for API
Pete Higgins,Fix spellcheck failures,spellcheck failures for,failures for API
Pete Higgins,Add spellcheck for,spellcheck for dev,"for dev docs.

Signed-off-by:"
Pete Higgins,Fix spellcheck errors,spellcheck errors in,errors in dev
Pakeji,Commit (January 01,(January 01 2020,01 2020 00:46:21
David,Add set2.py,set2.py,
Robert Long,Don't use the,use the creator,the creator attribution
CodyMathis123,update notes,notes,
Arne Roomann-Kurrik,Bump deps,deps,
hedgespin, update,update,
ardnew,rename Version class,Version class to,class to prevent
Agustin Mendez,WIP,,
hououinkami,Rename APIForHome.ini to,APIForHome.ini to APIForHomeR.ini,to APIForHomeR.ini
lipenghui,Add document for,document for sticky,for sticky consumer
tuteng,[website]Add content of,content of pulsar-manager,of pulsar-manager in
Sijie Guo,[CLI] Add a,Add a broker,a broker tool
Pierre Zemb,Bump Lombok version,Lombok version to,version to allow
tuteng,Fix pulsar-manager download,pulsar-manager download link,download link (#5774)
belinda-wong,[docs] Fix link,Fix link issue,link issue for
Masahiro Sakamoto,Fix bug that,bug that beforeConsume(),that beforeConsume() of
Reugn,Add Murmur3_32Hash private,Murmur3_32Hash private constructor,private constructor (#5765)
Sunkwan Kwon,"Fixes #5626 (#5627)

If","#5626 (#5627)

If `killAfterIdleMs`","(#5627)

If `killAfterIdleMs` is"
congbo,Add documentation for,documentation for HDFS,for HDFS offload
冉小龙,[Reopen][Issue 5597]retry when,5597]retry when getPartitionedTopicMetadata,when getPartitionedTopicMetadata failed
belinda-wong,[docs] Fix link,Fix link issue,link issue for
Sunkwan Kwon,[Issue 5589][pulsar-function-go] Fix,5589][pulsar-function-go] Fix a,Fix a memory
congbo,Modify the logical,the logical for,logical for getting
Masahiro Sakamoto,Bump jackson libraries,jackson libraries to,libraries to 2.10.1
congbo,[Issue 5562][docs]Modify schema,5562][docs]Modify schema compatibility,schema compatibility check
冉小龙,[Issue:5787] Fix docs,Fix docs for,docs for creating
冉小龙,[Issue:5687] Add prefix,Add prefix for,prefix for new
ntysdd,fix potential NPE,potential NPE and,NPE and repeated
冉小龙,Update website for,website for 2.4.2,for 2.4.2 release
Pakeji,Commit (January 01,(January 01 2020,01 2020 00:46:23
jenkins-x-bot,Publishing files for,files for path,for path jenkins-x/logs/cb-kubecd/environment-pr-120-100-boot-gke-production/master/1.log
Mariia Pecherytsia,reset and start,and start new,start new project
Val,Update README.md,README.md,
ejelome,Replace theme with,"theme with homepage

Added:

-","with homepage

Added:

- Sphinx-powered"
qbert,Update default.html,default.html,
Bradley Guthrie,added observable for,observable for post,for post
Francesco Litrico,Made some commands,some commands more,commands more user-friendly.
Aishwarya Pawar,Delete compute_Integ_Domain_fidelity.m,compute_Integ_Domain_fidelity.m,
Pakeji,Commit (January 01,(January 01 2020,01 2020 00:46:25
Brendan Lensink,Delete “assets/uploads/charli.png”,“assets/uploads/charli.png”,
Woodstock Recordstore,2020-01-01-00:46,,
Jairo Llopis,[FIX] website: do,website: do not,do not fail
Yoshi Tashiro,[IMP] l10n_jp: covering,l10n_jp: covering new,covering new tax
Nicolas Lempereur,[FIX] web_editor: Revert,"web_editor: Revert ""update","Revert ""update attribute"
acsone-git-bot,addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
Pakeji,Commit (January 01,(January 01 2020,01 2020 00:46:26
lonefintech,python update,update,
aseventhimpossiblething,Update CommunityUpdatesProcess.py,CommunityUpdatesProcess.py,
CreamyGlue,Apples and Oranges,and Oranges Java,Oranges Java Explained
Weiyishijie,baidu,,
blensink192,Upload “/assets/uploads/charli.png”,“/assets/uploads/charli.png”,
Pakeji,Commit (January 01,(January 01 2020,01 2020 00:46:28
zebingl@fb.com,Add disqus,disqus,
NewsTools,Created Text For,Text For URL,For URL [nationaldailyng.com/angry-protesters-invade-us-embassy-over-airstrikes-in-iraq/]
Test Author,New PR to,PR to test,to test SignCLA
quantum9Innovation,I knew you,knew you wouldn't,you wouldn't believe
Bamboo CI,Automated build in,build in Bamboo,in Bamboo CI
damienliccia,v4,,
Jack Howard,Delete everything,everything,
Jack Howard,"Basic webpack, react,","webpack, react, babel","react, babel setup"
Jack Howard,Build for webpack,for webpack folder,webpack folder build
Jack Howard,Use yarn for,yarn for deployment,for deployment
Jack Howard,Merge pull request,pull request #4,request #4 from
Darrell,minor refactoring,refactoring,
Keyi Zhang,test windows build,windows build [skip,build [skip travis]
5john,2020/01/01 00:46:29 ,00:46:29  ,  
Jan Gruenwaldt,Yes,,
unknown,forgot arg,arg,
Adrian Ancona Novelo,Finish article about,article about postgresql,about postgresql user
Lorenzo Mangione,Element properties subroutine,properties subroutine,subroutine
Lorenzo Mangione,element update fix,update fix,fix
Lorenzo Mangione,Elements doc,doc,
Lorenzo Mangione,Attack effects,effects,
Lorenzo Mangione,Map doc and,doc and variables,and variables
Lorenzo Mangione,Map doc,doc,
Lorenzo Mangione,Map Transitions,Transitions,
Lorenzo Mangione,Various subroutines,subroutines,
Lorenzo Mangione,Event stuff,stuff,
Lorenzo Mangione,Events,,
Lorenzo Mangione,AnothrGate object,object,
Lorenzo Mangione,Misc stuff,stuff,
Lorenzo Mangione,Direction offsets and,offsets and related,and related bugfix
Lorenzo Mangione,Panels,,
Lorenzo Mangione,Panels and Windows,and Windows,Windows
Lorenzo Mangione,Typos corrections,corrections,
Lorenzo Mangione,Text stuff,stuff,
Lorenzo Mangione,Text rendering doc,rendering doc,doc
Lorenzo Mangione,Text doc,doc,
Lorenzo Mangione,Parentheses in word-sized,in word-sized addresses,word-sized addresses
sarkiroka,update with actual,with actual data,actual data
wigforss,[maven-release-plugin] prepare release,prepare release java-8-base-0.178,release java-8-base-0.178
Michell Brito,Update README.md,README.md,
Ben Saufley,Update CodeClimate coverage,"CodeClimate coverage reporter,","coverage reporter, try"
Man Long Wong,Adding statistics,statistics,
SockPuppetry,Travis CI build,CI build 187083,build 187083
DreamLi,upgrade node.,node.,
mklewandowski,Add tool to,tool to export,to export graph
Jorge Pinna Puissant,"[FIX] base, website:","base, website: debug",website: debug assets
Goffin Simon,[FIX] lunch: The,lunch: The lunch,The lunch mail
Yoshi Tashiro,[IMP] l10n_jp: covering,l10n_jp: covering new,covering new tax
Duy,missing '=','=',
Andrew Asplund,Updated assignment,assignment,
Andrew Asplund,"Updated assignment, expanded","assignment, expanded DOM","expanded DOM Manipulation

Updated"
sourceconnect-tests,e2e test 2020-01-01T00:45:50.778540,test 2020-01-01T00:45:50.778540,2020-01-01T00:45:50.778540
wmayer,declare getMDIView and,getMDIView and getMDIViewPage,and getMDIViewPage as
wmayer,set explicit utf-8,explicit utf-8 encoding,utf-8 encoding for
wmayer,Gui: add virtual,add virtual method,virtual method containsViewProvider
wandererfan,[TD]fix #4234 initial,#4234 initial display,initial display of
wandererfan,[TD]adjust symbol location,symbol location for,location for font
wmayer,fix some const,some const correctness,const correctness
Grey Christoforo,fix brick01 file,brick01 file name,file name
PushKK,[skip ci] Update,"ci] Update Fem_ru.ts

Fix","Update Fem_ru.ts

Fix error"
Rajendra Pardeshi,Issue ID 0004230,ID 0004230 :,0004230 : Fixing
"Zheng, Lei",PartDesign: fix SubShapeBinder,fix SubShapeBinder lost,SubShapeBinder lost of
"Zheng, Lei",Part: add TopoShape::getSub(Topo)Shapes(),add TopoShape::getSub(Topo)Shapes(),TopoShape::getSub(Topo)Shapes()
"Zheng, Lei",PartDesign: improve SubShapeBinder,improve SubShapeBinder transformation,SubShapeBinder transformation cache
wmayer,PartDesign: [skip ci],[skip ci] replace,ci] replace int
wandererfan,[TD]fix potential nullptr,potential nullptr while,nullptr while restoring
WandererFan,[TD]add arrow style,arrow style -,"style - Pyramid

-"
WandererFan,[TD]support pyramid arrow,pyramid arrow in,arrow in leader
WandererFan,[TD]support Pyramid in,Pyramid in Balloon,in Balloon
"Zheng, Lei",Gui: fix ViewProviderDocumentObject,fix ViewProviderDocumentObject display,ViewProviderDocumentObject display mode
"Zheng, Lei",App: fix Expression,"fix Expression _moveCells()

The","Expression _moveCells()

The problem"
wmayer,Spreadsheet: [skip ci],[skip ci] fix,ci] fix inconsistent
Aishwarya Pawar,Delete compute_Integ_Domainf_reg.m,compute_Integ_Domainf_reg.m,
Renovate Bot,Update dependency org.clojure:java.jdbc,dependency org.clojure:java.jdbc to,org.clojure:java.jdbc to v0.7.11
Haokang Den,Merge pull request,pull request #14,request #14 from
Renovate Bot,Update dependency org.xerial:sqlite-jdbc,dependency org.xerial:sqlite-jdbc to,org.xerial:sqlite-jdbc to v3.30.1
87591,log,,
Weicheng Xue,Finish running cases,running cases using,cases using limiters
Michael Weedman,Added Login framework.,Login framework.,framework.
dsl,"Revert ""corrected a","""corrected a bug",a bug for
dsl,"Revert ""relaxed the","""relaxed the restriction",the restriction for
dsl,removed code for,code for restricting,for restricting word
jinghuijuan7,log,,
87591,log,,
87591,log,,
jinghuijuan6,log,,
jinghuijuan7,log,,
wmayer,declare getMDIView and,getMDIView and getMDIViewPage,and getMDIViewPage as
wmayer,set explicit utf-8,explicit utf-8 encoding,utf-8 encoding for
wmayer,Gui: add virtual,add virtual method,virtual method containsViewProvider
wandererfan,[TD]fix #4234 initial,#4234 initial display,initial display of
wandererfan,[TD]adjust symbol location,symbol location for,location for font
wmayer,fix some const,some const correctness,const correctness
Grey Christoforo,fix brick01 file,brick01 file name,file name
PushKK,[skip ci] Update,"ci] Update Fem_ru.ts

Fix","Update Fem_ru.ts

Fix error"
Rajendra Pardeshi,Issue ID 0004230,ID 0004230 :,0004230 : Fixing
"Zheng, Lei",PartDesign: fix SubShapeBinder,fix SubShapeBinder lost,SubShapeBinder lost of
"Zheng, Lei",Part: add TopoShape::getSub(Topo)Shapes(),add TopoShape::getSub(Topo)Shapes(),TopoShape::getSub(Topo)Shapes()
"Zheng, Lei",PartDesign: improve SubShapeBinder,improve SubShapeBinder transformation,SubShapeBinder transformation cache
wmayer,PartDesign: [skip ci],[skip ci] replace,ci] replace int
wandererfan,[TD]fix potential nullptr,potential nullptr while,nullptr while restoring
WandererFan,[TD]add arrow style,arrow style -,"style - Pyramid

-"
WandererFan,[TD]support pyramid arrow,pyramid arrow in,arrow in leader
WandererFan,[TD]support Pyramid in,Pyramid in Balloon,in Balloon
"Zheng, Lei",Gui: fix ViewProviderDocumentObject,fix ViewProviderDocumentObject display,ViewProviderDocumentObject display mode
"Zheng, Lei",App: fix Expression,"fix Expression _moveCells()

The","Expression _moveCells()

The problem"
wmayer,Spreadsheet: [skip ci],[skip ci] fix,ci] fix inconsistent
anonoymousm,First commit,commit,
anonoymousm,Site updated: 2020-01-01,updated: 2020-01-01 08:46:16,2020-01-01 08:46:16
wigforss,[maven-release-plugin] prepare for,prepare for next,for next development
keptn,Added resources,resources,
dependabot[bot],Bump handlebars from,handlebars from 4.1.2,from 4.1.2 to
Brandon,Merge pull request,pull request #1,request #1 from
akaban01,removed anymode,anymode,
Aaron Jackson,NEsper-8.0.0-beta baseline,baseline,
Aaron Jackson,Cleaning up tests;,up tests; fixing,tests; fixing a
Aaron Jackson,Removing test debug,"test debug code.
Adding","debug code.
Adding &"
Aaron Jackson,"Removing unused imports.
Moving","unused imports.
Moving NEsper.Examples","imports.
Moving NEsper.Examples to"
Aaron Jackson,Updated all projects,all projects to,projects to net462
Aaron Jackson,"Modifications to umask.
Modifications","to umask.
Modifications to","umask.
Modifications to copyright.
Adding"
Aaron Jackson,Adding buildspec.yml,buildspec.yml,
jacobatwork,updated log,log,
NewsTools,Created Text For,Text For URL,For URL [nationaldailyng.com/okorocha-reacts-to-alleged-rift-with-oshiomhole/]
Marco Castelluccio,Bug 409974 -,"409974 - ""Addresses","- ""Addresses in"
Marco Castelluccio,Bug 413937 -,"413937 - ""Please","- ""Please add"
Marco Castelluccio,Bug 423750 -,"423750 - ""Change","- ""Change name"
Marco Castelluccio,Bug 426660 -,"426660 - ""Allow","- ""Allow Firefox"
Marco Castelluccio,Bug 420416 -,"420416 - ""Artifacts","- ""Artifacts in"
Marco Castelluccio,check for signing,for signing log,signing log over
Marco Castelluccio,Bug 317472 -,"317472 - ""Save","- ""Save custom"
Marco Castelluccio,Bug 421483 -,"421483 - ""Reorganize","- ""Reorganize pre-populated"
Marco Castelluccio,Additional checkin for,checkin for bug,for bug 421922
Marco Castelluccio,Bug 423833 -,"423833 - ""Show","- ""Show Only"
Marco Castelluccio,Fallback to null-padding,to null-padding in,null-padding in nsMimeHeaderParam::GetParameter
Marco Castelluccio,Bug 423833 -,"423833 - ""Show","- ""Show Only"
Marco Castelluccio,Bug 420499 -,"420499 - ""Caret","- ""Caret browsing"
Marco Castelluccio,"Bug 231754, pressing","231754, pressing up/down",pressing up/down should
Marco Castelluccio,Bug 427408 -,427408 - browser.bookmarks.autoExportHTML,- browser.bookmarks.autoExportHTML has
Marco Castelluccio,reftests for bug,"for bug 423998

UltraBlame","bug 423998

UltraBlame original"
Marco Castelluccio,reftests for bug,"for bug 423998

UltraBlame","bug 423998

UltraBlame original"
Marco Castelluccio,reftests for bug,"for bug 423998

UltraBlame","bug 423998

UltraBlame original"
Marco Castelluccio,Don't let columns,let columns with,columns with no
Marco Castelluccio,Bug 407845 -,"407845 - ""nsCookieService::FindCookie()","- ""nsCookieService::FindCookie() shouldn't"
dhon2407-pc,"Cooking checkpoint 4

Refactoring","checkpoint 4

Refactoring and","4

Refactoring and improvements"
wingtorres,Delete test-image-measurements.png,test-image-measurements.png,
Brokalys bot,Monthly price per,price per sqm,per sqm data
TumsaUmata,Perfect Number,Number,
Brandon Minnick,Added Javascript config,Javascript config,config
Brandon Minnick,Updated SignalrService.Subscribe Logic,SignalrService.Subscribe Logic,Logic
cgschu1tz,plugins were a,were a giant,a giant waste
Jack Zhang,Edited introductory post,introductory post and,post and added
Jack Zhang,Merge pull request,pull request #2,request #2 from
Angel Fernando Quiroz Campos,LTI: Allow multiple,Allow multiple lineitems,multiple lineitems for
Gilberto Placidon,Add files via,"files via upload

Implemented","via upload

Implemented quicksort."
Juliano Dorigão,"menubg

Signed-off-by: Juliano Dorigão",Juliano Dorigão <jdorigao@gmail.com>,Dorigão <jdorigao@gmail.com>
Jorge Pinna Puissant,"[FIX] base, website:","base, website: debug",website: debug assets
Goffin Simon,[FIX] lunch: The,lunch: The lunch,The lunch mail
Yoshi Tashiro,[IMP] l10n_jp: covering,l10n_jp: covering new,covering new tax
Laurent Mignon (ACSONE),addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
acsone-git-bot,addons symlinks,symlinks,
Aishwarya Pawar,Delete ggquad.m,ggquad.m,
Henrik Bechmann,parameterize configuration data,configuration data,data
Ethan Ruszanowski,Added alt tags,alt tags,tags
Ethan Ruszanowski,Merge pull request,pull request #26,request #26 from
Chukwuemeka O Ike,Info for parking,for parking algo,parking algo
Travis,[Autosave][Dead-Hosts::repository-structure],,
Colin,remove dependency on,dependency on aws,on aws dockerhub
microcai,fix #553,#553,
hugocas,My bad,bad,
yeG10,1.0,,
Deployment Bot,Publishing to gh-pages,to gh-pages Wed,gh-pages Wed Jan
AboveTheChemist,"Update repairman.ts (#66)

Updated","repairman.ts (#66)

Updated elements","(#66)

Updated elements to"
Renovate Bot,Update dependency javax.portlet:portlet-api,dependency javax.portlet:portlet-api to,javax.portlet:portlet-api to v3
Travis,[Autosave][Dead-Hosts::repository-structure],,
dan0x09,Update adapters to,adapters to use,to use native
Peter Xu,Add mocks for,mocks for request-promise-native,for request-promise-native by
Mike Brady,Updated README,README,
sourceconnect-tests,e2e test 2020-01-01T00:46:28.679615,test 2020-01-01T00:46:28.679615,2020-01-01T00:46:28.679615
zack,/ ‘Class_Notes/2019/Analysis/Review/Quals/Solutions/Fall 2017.md’,‘Class_Notes/2019/Analysis/Review/Quals/Solutions/Fall 2017.md’,2017.md’
Jeff Kowalski,Add rubocop.yml and,rubocop.yml and address,and address rubocop
zhangwenjie-tina,Update omnibrowser_local_deployment_manual.md,omnibrowser_local_deployment_manual.md,
Erik Mackdanz,app-backup/amanda: Disable sandbox-violating,Disable sandbox-violating configure,"sandbox-violating configure test

Closes:"
Repository mirror & CI,Merge updates from,updates from master,from master
Repository mirror & CI,2020-01-01 00:25:51 UTC,00:25:51 UTC,UTC
adityamaddala,Set up CI,up CI with,CI with Azure
Gerardo Salazar,Add test cases,test cases for,cases for null
ejelome,Replace theme with,"theme with homepage

Added:

-","with homepage

Added:

- Sphinx-powered"
omegga,refacto cli,cli,
Pascal T,Merge pull request,pull request #17,request #17 from
omegga,add tests for,tests for converters,for converters
julia,classe funcionario,funcionario,
PRIZ ;],Update docs.js,docs.js,
Aishwarya Pawar,Delete computenewPoints.m,computenewPoints.m,
user Ryutta,update business,business,
casey langen,Allow for transcoder,for transcoder format,transcoder format selection
GitClock,update time,time,
Kai Raphahn,"feat: Create framework

move","Create framework

move bit","framework

move bit stuff"
Kai Raphahn,"feat: Create framework

add","Create framework

add tests","framework

add tests for"
Kai Raphahn,"feat: Create framework

try","Create framework

try to","framework

try to get"
Kai Raphahn,"feat: Create framework

remove","Create framework

remove numpy","framework

remove numpy from"
Kai Raphahn,"feat: Create framework

remove","Create framework

remove numpy","framework

remove numpy from"
Kai Raphahn,"feat: Create framework

encode","Create framework

encode u32","framework

encode u32 value

Issue"
Kai Raphahn,"feat: Create framework

add","Create framework

add decoding","framework

add decoding feature"
Kai Raphahn,"feat: Create framework

prepare","Create framework

prepare test","framework

prepare test of"
Kai Raphahn,"feat: Create framework

redo","Create framework

redo message","framework

redo message encode"
Kai Raphahn,"feat: Create framework

make","Create framework

make test","framework

make test with"
